Goal,X,Y,C,Distance,Angle
0,17.0,50,0.0,17.85,0.40447783762626216
1,9.0,30,20.0,16.071792059381554,0.2752793134772887
0,29.0,47,3.0,30.512374538865373,0.23829209884521543
1,15.0,53,3.0,15.87025519643588,0.45032685635196196
0,9.0,41,9.0,11.114180131705622,0.5608366482848695
1,5.0,46,4.0,5.858540773947041,1.07215014489556
0,12.0,71,21.0,18.57639631360184,0.2712176259591417
1,8.0,55,5.0,9.006802984411284,0.7371524997587747
0,11.0,63,13.0,14.311009747743169,0.415932290325356
0,17.0,56,6.0,18.271083711701394,0.38717981884058367
0,2.0,68,18.0,11.886967653695368,0.11960982908894272
0,21.0,38,12.0,23.388939693795443,0.29371069986468024
0,11.0,55,5.0,11.998541578041891,0.5746282275003937
0,17.0,40,10.0,18.996644440532123,0.35967403685627447
0,11.0,46,4.0,11.839024453053554,0.588192267514254
0,23.0,30,20.0,27.426674971640292,0.23485320035665017
0,32.0,31,19.0,35.79780021174486,0.19157651667652048
0,22.0,51,1.0,23.10914321215739,0.31403211774890216
0,10.0,62,12.0,13.080137613954985,0.45351561115002464
0,20.0,52,2.0,21.040199618824914,0.34385123486521907
1,10.0,19,31.0,22.721630663312876,0.15166686235375906
0,12.0,56,6.0,13.189768762188365,0.5213741842885677
0,11.0,57,7.0,12.413903495677738,0.541048218774014
0,6.0,84,34.0,22.980426453832404,0.08935845547680439
0,23.0,22,28.0,30.240081018409985,0.19372695450548785
1,12.0,51,1.0,12.616754733290174,0.5640811317617371
0,8.0,60,10.0,10.621205204683694,0.5539129060969811
0,13.0,50,0.0,13.65,0.5239396375264456
0,22.0,50,0.0,23.1,0.31427070504979715
0,5.0,66,16.0,11.65,0.3043948372634069
0,15.0,53,3.0,15.87025519643588,0.45032685635196196
0,6.0,71,21.0,15.03371211644017,0.21358878179238977
0,11.0,39,11.0,13.583997938751317,0.458874034466134
0,13.0,46,4.0,13.895412912180769,0.5074894297819179
0,25.0,31,19.0,29.01008445351375,0.22797859744767013
0,20.0,65,15.0,23.153023560649697,0.2860416529651169
0,14.0,55,5.0,15.05498256392215,0.46730053223534024
0,19.0,38,12.0,21.420609235033442,0.31679577481592847
0,11.0,54,4.0,11.839024453053554,0.588192267514254
0,24.0,68,18.0,27.783628272779637,0.2385540980304433
0,23.0,56,6.0,24.462880043036634,0.29344235678198977
1,12.0,55,5.0,13.012397934277908,0.5341519416725077
0,13.0,31,19.0,18.407742936058185,0.2978805122246868
0,13.0,22,28.0,22.75,0.1956491548204385
0,12.0,41,9.0,13.891814136389819,0.4744514361613352
0,17.0,66,16.0,20.658714868064763,0.3061401026557032
0,18.0,66,16.0,21.572436116489023,0.2970409276906882
0,16.0,34,16.0,19.75854245636555,0.3153100776120756
0,19.0,61,11.0,21.19256945252274,0.32338320072692645
1,10.0,60,10.0,12.349089035228468,0.504787111082435
0,24.0,37,13.0,26.578986060419986,0.26013285640998235
0,34.0,71,21.0,38.22057691872272,0.17862086166185406
0,20.0,46,4.0,21.160340261914506,0.34014177905248677
0,9.0,43,7.0,10.488326844640188,0.6213951258162871
0,4.0,67,17.0,11.821273197079915,0.2386912971488724
0,12.0,67,17.0,16.758952831248138,0.33206626567067177
0,13.0,71,21.0,19.30401512639275,0.2712737199954445
0,18.0,66,16.0,21.572436116489023,0.2970409276906882
0,21.0,53,3.0,22.136056559378414,0.3265320893929211
0,16.0,52,2.0,16.85022255045909,0.426645316659641
0,17.0,49,1.0,17.86183081321733,0.40397763645873547
0,14.0,27,23.0,20.966461313249788,0.24730657745765003
0,19.0,68,18.0,23.127743080551546,0.2730351404249318
0,13.0,56,6.0,14.196214284097012,0.48821070949377143
0,22.0,61,11.0,24.181242730678672,0.2877448652568952
0,13.0,68,18.0,17.97811169172113,0.3119750682558491
0,19.0,69,19.0,23.46326916693409,0.2654619792086078
0,27.0,48,2.0,28.379790344539195,0.2562565405951368
0,22.0,65,15.0,25.07334241779504,0.2682012800212975
0,20.0,32,18.0,24.039342753078753,0.26586779578711206
0,7.0,43,7.0,8.644362324659928,0.7201101384716242
0,26.0,53,3.0,27.36955425285549,0.26522874968664184
1,9.0,41,9.0,11.114180131705622,0.5608366482848695
1,18.0,63,13.0,20.702958725747386,0.3216256265342819
0,26.0,74,24.0,31.442805218364345,0.20210889983911917
0,22.0,32,18.0,25.894014752448104,0.25186453602476694
0,21.0,60,10.0,22.98809474488915,0.3036819004236065
0,9.0,35,15.0,13.578107379160027,0.3844644915514975
0,24.0,39,11.0,26.19470366314534,0.26761029998214175
0,8.0,37,13.0,11.914801718870523,0.44610227378018025
0,14.0,63,13.0,16.955603793436552,0.37409046709081273
0,10.0,61,11.0,12.703247616259395,0.47905113154716705
0,26.0,31,19.0,29.963519486201882,0.2222206349379769
0,11.0,27,23.0,18.891929493834134,0.24132760305939444
0,7.0,41,9.0,9.393880987110705,0.6232345110872599
0,9.0,53,3.0,9.649093221645233,0.7147531635553958
0,12.0,56,6.0,13.189768762188365,0.5213741842885677
0,27.0,66,16.0,30.197392271519078,0.22698785233621196
0,11.0,50,0.0,11.55,0.6137460607827115
0,14.0,69,19.0,19.199283840810313,0.2941379108771195
0,11.0,62,12.0,13.93709080116794,0.43731158474742216
0,19.0,50,0.0,19.95,0.3628820200689473
0,28.0,45,5.0,29.579088897395064,0.24478886796371135
0,26.0,40,10.0,28.063143088399777,0.25262306464739315
0,10.0,68,18.0,15.720687007888682,0.31768371181991284
0,25.0,75,25.0,30.872722588071174,0.20169352408056146
0,17.0,67,17.0,20.9934513598884,0.2967365571334337
0,18.0,55,5.0,19.17739554788397,0.3722014026013878
0,15.0,52,2.0,15.803559725580817,0.45382332870968084
0,11.0,41,9.0,12.947007376224052,0.5014474542557615
0,6.0,75,25.0,17.428496779699618,0.1575096013680273
0,26.0,29,21.0,30.52232789287213,0.21429322993676256
0,7.0,65,15.0,12.210036854981233,0.377492841312113
0,12.0,70,20.0,18.10414317221337,0.28538343785592213
0,12.0,41,9.0,13.891814136389819,0.4744514361613352
0,20.0,56,6.0,21.359073013593076,0.33412750668460783
0,26.0,50,0.0,27.3,0.26654253461972943
1,13.0,30,20.0,18.85,0.28430431212281077
0,10.0,61,11.0,12.703247616259395,0.47905113154716705
0,19.0,29,21.0,24.17281530976481,0.25041398003209947
0,20.0,31,19.0,24.36231721327017,0.25902377958115674
0,9.0,66,16.0,14.052135069091813,0.35947975315199954
0,15.0,57,7.0,16.394053800082517,0.42407042714928733
1,13.0,42,8.0,14.606933285258751,0.46338573138626593
0,26.0,77,27.0,32.45446810533181,0.18985458720507872
0,13.0,63,13.0,16.05381574579701,0.3881962225284794
0,10.0,33,17.0,15.243113199081087,0.33759032764216496
0,13.0,54,4.0,13.895412912180769,0.5074894297819179
0,26.0,64,14.0,28.77672670753225,0.240537542162153
